permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
9025246,3,additions alterations or repairs,1990-12-11T00:00:00.000,0266,009,1990-12-11T00:00:00.000,1991-02-14T00:00:00.000,1991-02-12T00:00:00.000,1992-03-23T00:00:00.000,complete,1992-03-23T00:00:00.000,444,Market,St,94111.0,office,office,0.0,0.0,167500.0,,N,Y,3.0,Financial District/South Beach,31823766153,2025-08-07T23:55:01.000,POINT (-122.398897639 37.791757221),eas_address_point
9025248,3,additions alterations or repairs,1990-12-11T00:00:00.000,1425,022,1990-12-11T00:00:00.000,,,,cancelled,1991-05-01T00:00:00.000,722,Clement,St,94118.0,apartments,apartments,4.0,4.0,400.0,,N,Y,1.0,Inner Richmond,318241242334,2025-08-07T23:55:01.000,POINT (-122.467022353 37.783086861),eas_address_point
9025249,3,additions alterations or repairs,1990-12-11T00:00:00.000,0259,026,1990-12-11T00:00:00.000,1991-02-07T00:00:00.000,1991-02-07T00:00:00.000,1991-07-17T00:00:00.000,complete,1991-07-17T00:00:00.000,555,California,St,94104.0,office,office,0.0,0.0,50000.0,,N,,3.0,Financial District/South Beach,318243298587,2025-08-07T23:55:01.000,POINT (-122.403518141 37.792579585),eas_address_point
9025249,3,additions alterations or repairs,1990-12-11T00:00:00.000,0259,026,1990-12-11T00:00:00.000,1991-02-07T00:00:00.000,1991-02-07T00:00:00.000,1991-07-17T00:00:00.000,complete,1991-07-17T00:00:00.000,555,California,St,94104.0,office,office,0.0,0.0,50000.0,,N,Y,3.0,Financial District/South Beach,31824266052,2025-08-07T23:55:01.000,POINT (-122.403518141 37.792579585),eas_address_point
9025253,3,additions alterations or repairs,1990-12-11T00:00:00.000,7048,004,1990-12-11T00:00:00.000,1991-06-14T00:00:00.000,1991-06-11T00:00:00.000,,expired,1993-01-12T00:00:00.000,18,Caine,Av,94112.0,1 family dwelling,1 family dwelling,1.0,1.0,100.0,,N,Y,11.0,Oceanview/Merced/Ingleside,318248252768,2025-08-07T23:55:01.000,POINT (-122.450330607 37.717954376),eas_address_point
9025254,3,additions alterations or repairs,1990-12-11T00:00:00.000,3701,022,1990-12-11T00:00:00.000,1991-01-14T00:00:00.000,1991-01-03T00:00:00.000,,expired,1992-01-14T00:00:00.000,99,09th,St,94103.0,residential hotel,residential hotel,100.0,100.0,16000.0,26000.0,N,Y,6.0,South of Market,780119371559,2025-08-07T23:55:01.000,POINT (-122.414787862 37.776475853),eas_address_point
9025255,3,additions alterations or repairs,1990-12-11T00:00:00.000,0235,009,1990-12-11T00:00:00.000,1991-05-06T00:00:00.000,1991-04-25T00:00:00.000,1991-10-31T00:00:00.000,complete,1991-10-31T00:00:00.000,20,California,St,94111.0,office,office,0.0,0.0,2212.0,,N,Y,3.0,Financial District/South Beach,31824963361,2025-08-07T23:55:01.000,POINT (-122.39696899 37.793896238),eas_address_point
9025258,3,additions alterations or repairs,1990-12-11T00:00:00.000,3611,044,1990-12-11T00:00:00.000,1991-01-18T00:00:00.000,1991-01-15T00:00:00.000,,expired,1991-07-18T00:00:00.000,670,Shotwell,St,94110.0,1 family dwelling,1 family dwelling,1.0,1.0,15000.0,,N,Y,9.0,Mission,318252161984,2025-08-07T23:55:01.000,POINT (-122.415873304 37.757708803),eas_address_point
9025259,3,additions alterations or repairs,1990-12-11T00:00:00.000,0441A,025,1990-12-11T00:00:00.000,1990-12-27T00:00:00.000,1990-12-21T00:00:00.000,1991-02-14T00:00:00.000,complete,1991-02-14T00:00:00.000,3520,Scott,St,94123.0,2 family dwelling,2 family dwelling,3.0,2.0,5500.0,,N,,2.0,Marina,318254300986,2025-08-07T23:55:01.000,POINT (-122.441425153 37.802841657),eas_address_point
9025259,3,additions alterations or repairs,1990-12-11T00:00:00.000,0441A,025,1990-12-11T00:00:00.000,1990-12-27T00:00:00.000,1990-12-21T00:00:00.000,1991-02-14T00:00:00.000,complete,1991-02-14T00:00:00.000,3520,Scott,St,94123.0,2 family dwelling,2 family dwelling,3.0,2.0,5500.0,,N,Y,2.0,Marina,31825370589,2025-08-07T23:55:01.000,POINT (-122.441425153 37.802841657),eas_address_point
