permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
201806293452,3,additions alterations or repairs,2018-06-29T00:00:00.000,0280,008,2018-06-29T15:36:37.000,2019-08-06T15:37:34.000,2019-07-15T08:21:04.000,,expired,2026-03-20T14:29:28.000,930,Sutter,St,94109.0,apartments,apartments,47.0,48.0,40000.0,76200.0,Y,Y,3.0,Nob Hill,1514126233528,2026-03-22T01:05:01.000,POINT (-122.415746391 37.788599552),eas_address_point
201804126131,8,otc alterations permit,2018-04-12T00:00:00.000,2785,032,2018-04-12T07:35:16.000,2018-04-13T09:02:01.000,2018-04-13T09:02:01.000,,expired,2026-03-20T11:24:40.000,136,Marview,Wy,94131.0,1 family dwelling,1 family dwelling,1.0,1.0,10000.0,10000.0,N,Y,7.0,Twin Peaks,1503971144166,2026-03-22T01:05:01.000,POINT (-122.448366269 37.754505111),eas_address_point
201803234532,8,otc alterations permit,2018-03-23T00:00:00.000,3729,078,2018-03-23T14:58:43.000,2018-04-11T09:23:26.000,2018-04-11T09:23:26.000,,expired,2026-03-20T11:17:04.000,227,09th,St,94103.0,apartments,apartments,19.0,19.0,1.0,1.0,N,Y,6.0,South of Market,1501665290697,2026-03-22T01:05:01.000,POINT (-122.412585686 37.774713907),eas_address_point
202412166893,8,otc alterations permit,2024-12-16T00:00:00.000,2316,002M,2024-12-16T11:00:03.000,2024-12-16T12:12:54.000,2024-12-16T12:12:54.000,2026-03-20T15:15:36.000,complete,2026-03-20T15:15:36.000,2258,34th,Av,94116.0,1 family dwelling,1 family dwelling,1.0,1.0,40000.0,108237.0,N,Y,4.0,Sunset/Parkside,1711224130799,2026-03-22T01:05:01.000,POINT (-122.491626805 37.744984558),eas_address_point
202409181037,3,additions alterations or repairs,2024-10-07T14:48:08.000,2713,022,2024-10-07T14:48:08.000,2025-07-01T12:43:27.000,2025-05-30T14:29:17.000,2026-03-20T08:59:12.000,complete,2026-03-20T08:59:12.000,71,Eagle,St,94114.0,1 family dwelling,2 family dwelling,1.0,2.0,1.0,1.0,N,,8.0,Castro/Upper Market,1725292480133,2026-03-22T01:05:01.000,POINT (-122.443252392 37.758225276),eas_address_point
202409181037,3,additions alterations or repairs,2024-10-07T14:48:08.000,2713,022,2024-10-07T14:48:08.000,2025-07-01T12:43:27.000,2025-05-30T14:29:17.000,2026-03-20T08:59:12.000,complete,2026-03-20T08:59:12.000,73,Eagle,St,94114.0,1 family dwelling,2 family dwelling,1.0,2.0,1.0,1.0,N,Y,8.0,Castro/Upper Market,1704891520762,2026-03-22T01:05:01.000,POINT (-122.443243559 37.758356395),eas_address_point
202410032244,8,otc alterations permit,2024-10-03T00:00:00.000,5286A,022,2024-10-03T10:21:31.000,2025-08-06T11:40:04.000,2025-08-06T11:40:04.000,2026-03-20T09:12:19.000,complete,2026-03-20T09:12:19.000,2245,Jerrold,Av,94124.0,sfpd or sffd station,sfpd or sffd station,,,536000.0,536000.0,N,Y,10.0,Bayview Hunters Point,1706213510103,2026-03-22T01:05:01.000,POINT (-122.401118487 37.745274327),eas_address_point
202408299786,8,otc alterations permit,2024-08-29T00:00:00.000,1616,024,2024-08-29T15:18:05.000,2025-03-14T15:51:59.000,2025-03-14T15:51:59.000,2026-03-20T13:18:24.000,complete,2026-03-20T13:18:24.000,2750,Cabrillo,St,94121.0,,2 family dwelling,,2.0,10000.0,10000.0,N,Y,1.0,Outer Richmond,1703531517989,2026-03-22T01:05:01.000,POINT (-122.488449899 37.774483574),eas_address_point
202407025690,8,otc alterations permit,2024-07-02T00:00:00.000,0567,125,2024-07-02T10:41:34.000,2024-11-13T15:47:13.000,2024-11-13T15:47:13.000,2026-03-20T10:34:20.000,complete,2026-03-20T10:34:20.000,1940,Broadway,,94123.0,apartments,apartments,14.0,14.0,10000.0,12433.0,N,Y,2.0,Pacific Heights,1699094288211,2026-03-22T01:05:01.000,POINT (-122.429114048 37.795388533),eas_address_point
202407025690,8,otc alterations permit,2024-07-02T00:00:00.000,0567,011,2024-07-02T10:41:34.000,2024-11-13T15:47:13.000,2024-11-13T15:47:13.000,2026-03-20T10:34:20.000,complete,2026-03-20T10:34:20.000,1940,Broadway,,94123.0,apartments,apartments,14.0,14.0,10000.0,12433.0,N,,2.0,Pacific Heights,169909574642,2026-03-22T01:05:01.000,POINT (-122.429114048 37.795388533),eas_address_point
