OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
2199,SRA,1,Moderate,352683.484375,3226.735972795254
2200,SRA,1,Moderate,320100.01171875,4887.029945011124
2201,SRA,1,Moderate,127.30078125,73.296219293474
2202,SRA,1,Moderate,691.12109375,115.20206495141353
2203,SRA,1,Moderate,16812952.96484375,27418.16037031124
2204,SRA,1,Moderate,301.20703125,84.73184635087335
2205,SRA,1,Moderate,1171.703125,167.11760783936478
2207,SRA,1,Moderate,39951543.7734375,106036.51189797545
2208,SRA,1,Moderate,6856.81640625,348.746749458936
2209,SRA,1,Moderate,336286.40234375,4409.068973054262
2214,SRA,1,Moderate,23706982.72265625,37496.34877510123
2216,SRA,1,Moderate,1334759.6328125,13516.130040383208
2217,SRA,1,Moderate,170489.39453125,2232.7825339886704
2220,SRA,1,Moderate,284.46875,88.65778789852712
2221,SRA,1,Moderate,369.14453125,89.4532113570061
2223,SRA,1,Moderate,17735139.50390625,47296.05862036184
2224,SRA,1,Moderate,242243.23046875,3341.6787757275324
2226,SRA,1,Moderate,2075125.29296875,15807.895289623983
2227,SRA,1,Moderate,2819615.98828125,13443.68329433564
2228,SRA,1,Moderate,14932.42578125,963.8556976523606
2229,SRA,1,Moderate,71494.04296875,1691.255247009764
2240,SRA,1,Moderate,10971.36328125,588.6714959791419
2243,SRA,1,Moderate,131.18359375,96.24816042824193
2244,SRA,1,Moderate,57.375,40.084905216470204
2245,SRA,1,Moderate,207216.31640625,4277.978507635428
2246,SRA,1,Moderate,174694.203125,2736.0096575874018
2247,SRA,1,Moderate,133979.4375,2595.849323558624
2248,SRA,1,Moderate,87292.34375,2008.6671172165532
2249,SRA,1,Moderate,198036.71484375,2156.8951178843595
2250,SRA,1,Moderate,200854.49609375,3269.4293667517504
2251,SRA,1,Moderate,4412.02734375,375.2218463376063
2253,SRA,1,Moderate,749.97265625,112.22810697262875
2254,SRA,1,Moderate,4978446.54296875,19081.8517937596
2255,SRA,1,Moderate,6.53515625,21.378944485321803
2256,SRA,1,Moderate,14537.16796875,763.5598156865216
2259,SRA,1,Moderate,15285.34375,731.9877621395505
2261,SRA,1,Moderate,66.28515625,47.259015952027006
2262,SRA,1,Moderate,19224.96484375,557.5072885077495
2263,SRA,1,Moderate,969.67578125,151.44657076490674
2264,SRA,1,Moderate,7611.2734375,644.1663963810563
2265,SRA,1,Moderate,295.16015625,83.6200083144132
2266,SRA,1,Moderate,4337.61328125,373.28741894793336
2267,SRA,1,Moderate,105.22265625,49.53384370336464
2268,SRA,1,Moderate,91.6484375,46.239917890395446
2269,SRA,1,Moderate,403.82421875,78.75575265723407
2270,SRA,1,Moderate,186.9765625,66.5250107827651
2271,SRA,1,Moderate,398.81640625,107.61833584409825
2272,SRA,1,Moderate,86.4765625,46.93095410931376
2273,SRA,1,Moderate,521.6640625,107.26943582464294
2274,SRA,1,Moderate,1081.05859375,182.5276670217006
2275,SRA,1,Moderate,152.55859375,65.32611537472377
2276,SRA,1,Moderate,114.99609375,56.717276138633075
2277,SRA,1,Moderate,82.734375,48.10806952334943
2278,SRA,1,Moderate,33157.63671875,1065.8606821198532
2279,SRA,1,Moderate,17.75,22.28083887246016
2280,SRA,1,Moderate,1417.3515625,254.85042424243568
2282,SRA,1,Moderate,96.71875,64.11391795121764
2283,SRA,1,Moderate,2372.2890625,326.4437791196757
2284,SRA,1,Moderate,19.7734375,24.201097001460333
2285,SRA,1,Moderate,135957.1875,2738.2237089698383
2286,SRA,1,Moderate,255171.65625,3662.617024404927
2288,SRA,1,Moderate,37306.625,1251.6044323124981
2289,SRA,1,Moderate,41551.66796875,1242.4726406109469
2290,SRA,1,Moderate,475.109375,106.64484621487213
2291,SRA,1,Moderate,143233.3828125,1901.8022867608738
2293,SRA,1,Moderate,431.0703125,107.20578902965327
2294,SRA,1,Moderate,75.51953125,91.06484490717683
2296,SRA,1,Moderate,868418.79296875,7489.830064315437
2297,SRA,1,Moderate,3597910.93359375,12454.278742948172
2301,SRA,1,Moderate,1423628.1953125,10596.63646134124
2305,SRA,1,Moderate,3035081.41015625,16931.909502744988
2306,SRA,1,Moderate,32421.09375,1174.3765300840992
2312,SRA,1,Moderate,1675.6015625,210.2020714383933
2314,SRA,1,Moderate,49656.6015625,1106.0662585266784
2316,SRA,1,Moderate,2879243.3515625,15041.654572546475
2317,SRA,1,Moderate,44719.41015625,1238.2848557280024
2320,SRA,1,Moderate,1080.05078125,132.8987865942367
2321,SRA,1,Moderate,943.9921875,125.75438423686778
2322,SRA,1,Moderate,6285.08203125,350.65891231980214
2324,SRA,1,Moderate,279651.92578125,3629.448815312632
2326,SRA,1,Moderate,288551.1015625,2862.186840474266
2327,SRA,1,Moderate,7056.390625,495.9599435131814
2328,SRA,1,Moderate,13.40234375,17.678880262005997
2329,SRA,1,Moderate,15.7421875,19.1565593131829
2330,SRA,1,Moderate,14.55859375,17.299026530399775
2332,SRA,1,Moderate,1370.88671875,203.15847986482018
2338,SRA,1,Moderate,967.4765625,171.26260715937775
2339,SRA,1,Moderate,10.859375,22.633232905534825
2345,SRA,1,Moderate,153855.90625,2271.104303227929
2350,SRA,1,Moderate,4578420.66796875,19987.015281921937
2356,SRA,1,Moderate,24510155.05859375,70163.85103193618
2357,SRA,1,Moderate,58432.38671875,1442.0392640861226
2362,SRA,1,Moderate,27084.265625,806.0728049379737
2370,SRA,1,Moderate,21448.515625,861.8709150229168
2372,SRA,1,Moderate,11348990.64453125,22049.288094791074
2373,SRA,1,Moderate,30.51171875,60.282430280284586
2374,SRA,1,Moderate,289030.140625,5209.295285174085
2375,SRA,1,Moderate,208309.84765625,2578.8246469817705
2379,SRA,1,Moderate,2064735.21875,17299.161991305016
2382,SRA,1,Moderate,3488348.015625,12896.479294729092
2394,SRA,1,Moderate,1352.5078125,155.49769244297912
2400,SRA,1,Moderate,2838319.1171875,15170.706691311148
2403,SRA,1,Moderate,0.1484375,1.9123378229871781
2405,SRA,1,Moderate,3230345.48828125,10335.62788703046
2406,SRA,1,Moderate,12720500.3984375,22931.41396006417
2445,SRA,1,Moderate,17710.99609375,1111.4412619090372
2446,SRA,1,Moderate,21.19140625,24.314061831307466
2458,SRA,1,Moderate,66628.87109375,1478.936302566291
2460,SRA,1,Moderate,67535.36328125,1536.358983211075
2461,SRA,1,Moderate,66.58984375,35.418343913479994
2470,SRA,1,Moderate,8890102.0546875,20733.008764769096
2472,SRA,1,Moderate,13928.203125,817.0289689045148
2476,SRA,1,Moderate,3515145.5078125,9448.149102541569
2479,SRA,1,Moderate,26563.70703125,1135.5872641921662
2480,SRA,1,Moderate,125.328125,57.971992792826086
2539,SRA,1,Moderate,155428184.73046875,129333.7025298751
2562,SRA,1,Moderate,95559108.67578125,106154.00799017966
6536,SRA,2,High,40296076.2890625,48029.970439311044
6538,SRA,2,High,1043.3671875,150.25037569296185
6539,SRA,2,High,6146.88671875,532.2798345099599
6540,SRA,2,High,165.31640625,62.21003950293367
6541,SRA,2,High,5801221.38671875,16419.91816114302
6551,SRA,2,High,3283834.5078125,11169.776086131153
6553,SRA,2,High,56855.7734375,1679.8456661700234
6618,SRA,2,High,206.109375,74.49582718824747
6619,SRA,2,High,2.23828125,7.786491004405598
6620,SRA,2,High,384.10546875,101.93415398894118
6621,SRA,2,High,338.40625,95.67792552346272
6622,SRA,2,High,295.59765625,89.42118219187051
6623,SRA,2,High,255.671875,83.16386920375496
6627,SRA,2,High,77.4296875,60.52770268179019
6628,SRA,2,High,136.1875,53.037230383910526
6630,SRA,2,High,6.73828125,35.6984122190472
6631,SRA,2,High,5838045.16015625,19132.962801635098
6638,SRA,2,High,323.35546875,88.07628427833254
6650,SRA,2,High,185.6640625,69.1501792848066
6651,SRA,2,High,3347470.1875,19849.344378636626
6652,SRA,2,High,9075.51953125,793.6634347249475
6658,SRA,2,High,3.68359375,9.400778498268114
6661,SRA,2,High,101.078125,49.230238637430915
6662,SRA,2,High,5.96875,11.964915244389736
6666,SRA,2,High,137974.80859375,2004.7854428743158
6667,SRA,2,High,636.875,133.62240904854787
6669,SRA,2,High,105.63671875,54.44581224904856
6670,SRA,2,High,278.921875,101.56868869573586
6671,SRA,2,High,147805510.93359375,156934.3419274407
6672,SRA,2,High,0.01171875,0.6202963136616846
6673,SRA,2,High,510.84765625,110.50742532904282
6674,SRA,2,High,39.98046875,30.914134160110425
6675,SRA,2,High,183.93359375,66.30998383455041
6676,SRA,2,High,436.3203125,92.99713032380488
6677,SRA,2,High,776.22265625,146.76113676612445
6678,SRA,2,High,131.0546875,58.47334871265258
6679,SRA,2,High,0.1953125,2.2540328423183214
6680,SRA,2,High,16073.54296875,696.3474848430029
6681,SRA,2,High,2075.4609375,204.1976780512465
6682,SRA,2,High,448.08984375,84.98616237921637
6683,SRA,2,High,27594.7109375,914.6482970685255
6684,SRA,2,High,1224.0078125,224.53125664564863
6685,SRA,2,High,502947.5625,5823.304794032786
6688,SRA,2,High,1043433.15625,8554.93803193718
6690,SRA,2,High,4423.27734375,268.1549590454073
6693,SRA,2,High,16121.1875,858.1278366199821
6694,SRA,2,High,418.6875,99.2626402548087
6700,SRA,2,High,6795.76953125,725.1845251833122
6702,SRA,2,High,487.3828125,108.86981004139687
6713,SRA,2,High,1139649.28515625,7286.975679873094
6722,SRA,2,High,1057071636.8164062,824843.7358562353
6726,SRA,2,High,2468.98046875,377.68919743211416
6727,SRA,2,High,2356.6328125,259.1359151773827
6728,SRA,2,High,623.47265625,132.14928778962206
6729,SRA,2,High,725.5546875,144.5571668619163
6730,SRA,2,High,2558.55859375,337.85157818252065
6732,SRA,2,High,3080.61328125,307.7808288156685
6733,SRA,2,High,5216.0390625,480.7586093355533
6734,SRA,2,High,1041.4609375,172.6259791704889
6735,SRA,2,High,380.23046875,101.64833874407034
6737,SRA,2,High,2445.1328125,244.33863409552316
6738,SRA,2,High,118.29296875,84.66061965913404
6739,SRA,2,High,190.0546875,66.6495024427127
6740,SRA,2,High,1085.52734375,215.48079363868248
6741,SRA,2,High,661.2578125,120.91514353301216
6742,SRA,2,High,129.296875,75.34179026235243
6743,SRA,2,High,6204304.01171875,35693.4529470641
6765,SRA,2,High,71879593.27734375,111885.27018606357
6779,SRA,2,High,31566.5234375,1490.453207749498
6780,SRA,2,High,18662411.31640625,49073.91938219411
6797,SRA,2,High,136860.3828125,2702.6100111887417
6798,SRA,2,High,1.3359375,5.976913685313486
6837,SRA,2,High,72186102.859375,71020.46091915635
6840,SRA,2,High,52.98828125,47.958442357993576
6841,SRA,2,High,455.65625,92.87898319236227
6842,SRA,2,High,372.34375,88.0095184631746
6843,SRA,2,High,498.4609375,111.95931364127338
6844,SRA,2,High,234.96875,74.94078802789089
6845,SRA,2,High,0.671875,4.000900976204186
6849,SRA,2,High,1760252.109375,8683.026690551107
6855,SRA,2,High,3252.30078125,383.43929790639737
6867,SRA,2,High,6093256.640625,24854.615456727555
6873,SRA,2,High,925703.01953125,5662.749076151062
6893,SRA,2,High,993.05859375,128.37160106127854
6894,SRA,2,High,228.29296875,102.32803871131792
6896,SRA,2,High,1179.85546875,139.05790363653531
6897,SRA,2,High,431.1484375,140.6249545421377
6903,SRA,2,High,151430437.40625,160322.1498935724
6939,SRA,2,High,297.1015625,83.70095428290725
6941,SRA,2,High,111556.9140625,1827.4774637291125
6944,SRA,2,High,4039.39453125,297.2362523995087
6953,SRA,2,High,2300939.1875,9921.294775399478
7056,SRA,2,High,596046613.4492188,646365.2768837624
7210,SRA,2,High,167620008.96875,298436.24191244633
13056,SRA,3,Very High,49450.28125,1199.0963231750616
13079,SRA,3,Very High,140.1484375,59.13887528103143
13102,SRA,3,Very High,1566496.16015625,11475.074427095065
13136,SRA,3,Very High,1249.140625,148.43244987596498
13137,SRA,3,Very High,235.8125,80.72900140351385
13138,SRA,3,Very High,3370.9609375,388.51682733949406
13141,SRA,3,Very High,221.078125,72.05280402136303
13144,SRA,3,Very High,51.06640625,41.34857851273976
13145,SRA,3,Very High,4406.53125,362.5019232203749
13146,SRA,3,Very High,3849.53515625,367.7950590562206
13147,SRA,3,Very High,2786770.02734375,16116.422839188272
13148,SRA,3,Very High,139.0546875,57.51208190739939
13151,SRA,3,Very High,105.09375,54.23076813023785
13152,SRA,3,Very High,4717949.1640625,30186.736782916953
13154,SRA,3,Very High,24074.67578125,1422.865607424538
13155,SRA,3,Very High,42.53515625,66.99995846619568
13171,SRA,3,Very High,3559564.2109375,22965.079934751484
13175,SRA,3,Very High,3259.9609375,245.90446602147907
13211,SRA,3,Very High,595415.45703125,7985.642334228678
13231,SRA,3,Very High,449.453125,99.49015279584107
13254,SRA,3,Very High,281520207.859375,251082.88101230602
13271,SRA,3,Very High,432.484375,112.44549566895259
13273,SRA,3,Very High,246.8046875,84.91074933276059
13275,SRA,3,Very High,112.109375,57.18436260103539
13279,SRA,3,Very High,3006.02734375,415.8181283215283
13280,SRA,3,Very High,31.6953125,30.301400364037832
13281,SRA,3,Very High,106.55859375,55.85512442766416
13282,SRA,3,Very High,135.37109375,56.21402557637816
13285,SRA,3,Very High,235992684.3671875,219889.32098154022
13286,SRA,3,Very High,63703.4609375,2395.787724283463
