CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
1100170000000,0691051,No Data,Active,Alameda,Alameda County Office of Education,No Data,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 887-0152,No Data,No Data,www.acoe.org,No Data,No Data,No Data,No Data,No Data,0,County Office of Education (COE),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37.658212,-122.09713,Alysse,Castro,03/08/2023,No Data
1100170109835,0691051,10546,Closed,Alameda,Alameda County Office of Education,FAME Public Charter,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,94560-5359,CA,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,94560-5359,CA,No Data,No Data,No Data,No Data,08/29/2005,07/31/2015,Y,0728,No Data,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,N,N,No Data,37.521436,-121.99391,No Data,No Data,09/01/2015,No Data
1100170112607,0691051,10947,Active,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,1515 Webster Street,1515 Webster St.,Oakland,94612-3355,CA,1515 Webster Street,1515 Webster St.,Oakland,94612,CA,(510) 596-8901,No Data,(510) 596-8905,www.envisionacademy.org/,08/28/2006,No Data,Y,0811,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,N,N,0601614,37.804520,-122.26815,Justin,Wells,06/23/2026,N
1100170114363,0691051,12013,Active,Alameda,Alameda County Office of Education,American Indian Public Charter School II,171 12th Street,171 12th St.,Oakland,94607-4900,CA,171 12th Street,171 12th St.,Oakland,94607-4900,CA,(510) 893-8701,No Data,(510) 893-0345,www.aimsk12.org,07/01/2007,No Data,Y,0882,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601880,37.800368,-122.26548,Marco,Menendez,09/08/2025,N
1100170118489,0691051,12283,Closed,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,2125 Jefferson Avenue,2125 Jefferson Ave.,Berkeley,94703-1414,CA,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,94606,CA,No Data,No Data,No Data,Information Not Available,08/21/2008,06/30/2015,Y,1049,No Data,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.868991,-122.27844,No Data,No Data,07/01/2015,No Data
1100170123968,0691051,12844,Closed,Alameda,Alameda County Office of Education,Community School for Creative Education,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,No Data,No Data,No Data,Information Not Available,08/22/2011,06/30/2026,Y,1284,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601691,37.784648,-122.23863,No Data,No Data,07/01/2026,Y
1100170124172,0691051,12901,Active,Alameda,Alameda County Office of Education,Yu Ming Charter,2501 Chestnut Street,2501 Chestnut St.,Oakland,94607-2477,CA,2501 Chestnut Street,2501 Chestnut St.,Oakland,94607,CA,(510) 452-2063,No Data,(510) 452-2095,www.yumingschool.org,08/09/2011,No Data,Y,1296,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0602013,37.818228,-122.28233,Celia,Pascual,05/15/2024,Y
1100170125567,0691051,13008,Closed,Alameda,Alameda County Office of Education,Urban Montessori Charter,4551 Steele Street,4551 Steele St.,Oakland,94619-3312,CA,4551 Steele Street,4551 Steele St.,Oakland,94619-3312,CA,No Data,No Data,No Data,Information Not Available,08/27/2012,06/30/2025,Y,1383,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,Y,0601816,37.786794,-122.18817,No Data,No Data,06/30/2025,N
1100170126748,0691051,13155,Active,Alameda,Alameda County Office of Education,LPS Oakland R & D Campus,"8601 MacArthur Boulevard, Building 100","8601 MacArthur Blvd., Bldg. 100",Oakland,94605-4037,CA,99 Linden Street,99 Linden St.,Oakland,94607,CA,(510) 633-0750,No Data,(510) 291-9783,www.leadps.org,08/21/2012,No Data,Y,1449,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,0601967,37.759536,-122.16291,Brent,Daniels,07/01/2025,N
1100170129403,0691051,13772,Active,Alameda,Alameda County Office of Education,Epic Charter,1045 Derby Avenue,1045 Derby Ave.,Oakland,94601-2212,CA,"333 Hegenberger Road, Suite 600","333 Hegenberger Rd., Ste. 600",Oakland,94621,CA,(510) 689-2035,No Data,(510) 904-6743,www.efcps.net,08/25/2014,No Data,N,No Data,No Data,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,0602223,37.777049,-122.22960,Larissa,Adam,02/10/2021,Y
1100170130302,0691051,No Data,Closed,Alameda,Alameda County Office of Education,"Technical, Agricultural & Nat.",597 C Street,597 C St.,Hayward,94541,CA,597 C Street,597 C St.,Hayward,94541,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100170130401,0691051,09264,Active,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue,2500 Fairmont Ave.,San Leandro,94578-1005,CA,2500 Fairmont Avenue,2500 Fairmont Ave.,San Leandro,94578-1005,CA,(510) 670-7609,No Data,(510) 618-3412,www.acoe.org,07/01/1980,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,8-12,N,N,N,No Data,37.712878,-122.11173,Jessica,Goode,12/16/2024,N
1100170130419,0691051,06830,Active,Alameda,Alameda County Office of Education,Alameda County Community,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 670-4590,No Data,(510) 670-4208,www.acoe.org,07/01/1980,No Data,N,No Data,No Data,0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,K-12,8-12,C,N,N,No Data,37.658212,-122.09713,Jenaver,Goodman,02/09/2023,N
1100170130427,0691051,09265,Closed,Alameda,Alameda County Office of Education,Alameda County Opportunity,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,No Data,No Data,No Data,Information Not Available,07/01/1980,06/30/2013,N,No Data,No Data,0,County Office of Education (COE),13,Opportunity Schools,OPP,Opportunity School,HS,High School,7-12,8-12,No Data,No Data,N,No Data,37.658212,-122.09713,No Data,No Data,04/28/2014,No Data
1100170130625,0691051,08674,Active,Alameda,Alameda County Office of Education,Alternatives in Action,6221 East 17th Street,6221 East 17th St.,Oakland,94621-4107,CA,6221 East 17th Street,6221 East 17th St.,Oakland,94621-4107,CA,(510) 748-4314,No Data,(510) 748-4326,www.alternativesinaction.org,09/04/2001,No Data,Y,0398,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,0601635,37.764464,-122.19540,Daniel,Zarazua,09/19/2023,N
1100170131276,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Berkeley Trade & Tech. College,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),66,High Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100170131581,0691051,13887,Active,Alameda,Alameda County Office of Education,Oakland Unity Middle,1180 70th Avenue,1180 70th Ave.,Oakland,94621-3216,CA,1180 70th Avenue,1180 70th Ave.,Oakland,94621-3216,CA,(510) 564-4851,No Data,(510) 763-1490,www.unitymiddle.org,08/23/2015,No Data,Y,1707,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,Y,0602346,37.759123,-122.19094,Sau-Lim (Lance),Tsang,02/09/2023,N
1100170131912,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Canyon Valley Adult School,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),70,Adult Education Centers,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100170136101,0691051,14091,Active,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,703 C Street,703 C St.,Union City,94587-2195,CA,12420 Bentley Street,12420 Bentley St.,Waterford,95386-9150,CA,(209) 874-1119,6,(209) 874-9531,https://eastbay.connectingwaters.org/,08/16/2017,No Data,Y,1881,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0602159,37.603623,-122.02530,Tammy,Hushaw,02/24/2026,N
1100170136226,0691051,14090,Active,Alameda,Alameda County Office of Education,Opportunity Academy,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 670-7602,No Data,(510) 670-4208,www.acoe.org,09/05/2017,No Data,Y,1888,Locally funded,0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,10-12,10-12,C,N,N,No Data,37.658510,-122.09834,Tracey,Burns,09/08/2025,N
1100170136853,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Roosevelt High (Defunct),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),66,High Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100170137448,0691051,14335,Closed,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,1034 66th Avenue,1034 66th Ave.,Oakland,94621-3536,CA,1034 66th Avenue,1034 66th Ave.,Oakland,94621-3536,CA,No Data,No Data,No Data,Information Not Available,08/13/2018,06/30/2025,Y,1908,Directly funded,0,County Office of Education (COE),64,Junior High Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,0602459,37.758631,-122.19604,No Data,No Data,06/30/2025,N
1100170138412,0691051,No Data,Closed,Alameda,Alameda County Office of Education,University High School (Defunc,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),66,High Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100170138644,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Washington Evening High (Defun,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),70,Adult Education Centers,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100170138867,0691051,14443,Active,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,166 West Harder Road,166 West Harder Rd.,Hayward,94544-2742,CA,650 San Benito Street Suite 230,650 San Benito St. Ste. 230,Hollister,95023,CA,(650) 520-3915,No Data,No Data,www.haywardcollegiate.org,08/19/2019,No Data,Y,2027,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,0602523,37.648124,-122.08239,Danilo,Juarez,08/29/2025,N
1100176001788,0691051,04257,Active,Alameda,Alameda County Office of Education,Cox Academy,9860 Sunnyside Street,9860 Sunnyside St.,Oakland,94603-2750,CA,"333 Hegenberger Road, Suite 705","333 Hegenberger Rd., Ste. 705",Oakland,94621,CA,(510) 904-6300,No Data,(510) 904-6377,www.efcps.org,07/01/1980,No Data,Y,0740,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,0601718,37.746513,-122.16182,Larissa,Adam,03/26/2025,N
1100176002000,0691051,04288,Active,Alameda,Alameda County Office of Education,Lazear Charter Academy,824 29th Avenue,824 29th Ave.,Oakland,94601-2205,CA,333 Hegenberger Road Suite 705,333 Hegenberger Rd. Ste. 705,Oakland,94621,CA,(510) 689-2018,No Data,(510) 904-6765,www.efcps.org,07/01/1980,No Data,Y,1464,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0602405,37.776239,-122.23207,Kaitlin,Friedman,07/25/2023,N
1100176002729,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Chabot Ranch,2500 Fairmont Drive,2500 Fairmont Dr.,San Leandro,94578,CA,2500 Fairmont Drive,2500 Fairmont Dr.,San Leandro,94578,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176002737,0691051,No Data,Merged,Alameda,Alameda County Office of Education,Juvenile Court Schools,2400 Fairmont Drive,2400 Fairmont Dr.,San Leandro,94578,CA,2400 Fairmont Drive,2400 Fairmont Dr.,San Leandro,94578,CA,No Data,No Data,No Data,No Data,07/01/1980,06/22/1987,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,No Data,No Data,ELEMHIGH,Elementary-High Combination,5-12,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176002745,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Las Vistas School,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176002752,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Senior Camp,2600 Fairmont Drive,2600 Fairmont Dr.,San Leandro,94578,CA,2600 Fairmont Drive,2600 Fairmont Dr.,San Leandro,94578,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176002760,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Snedigar Cottage,2100 Fairmont Drive,2100 Fairmont Dr.,San Leandro,94578,CA,2100 Fairmont Drive,2100 Fairmont Dr.,San Leandro,94578,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176066526,0691051,No Data,Merged,Alameda,Alameda County Office of Education,Koster/Whiteford Special Center,35725 Cedar Avenue,35725 Cedar Ave.,Newark,94560,CA,35725 Cedar Avenue,35725 Cedar Ave.,Newark,94560,CA,No Data,No Data,No Data,No Data,07/01/1980,06/22/1987,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
