value,count
Los Angeles,876
San Diego,430
San Jose,416
Sacramento,348
Fresno,296
No Data,287
Oakland,265
San Francisco,255
Bakersfield,212
Stockton,209
Riverside,126
Santa Ana,125
Long Beach,121
San Bernardino,121
Santa Rosa,119
Modesto,116
Redding,103
Salinas,95
Anaheim,94
Hayward,87
Chula Vista,86
Santa Barbara,82
Ontario,80
Whittier,80
Lancaster,78
Tracy,77
Eureka,74
Fontana,73
Napa,73
Visalia,72
Porterville,71
Oxnard,71
Madera,70
Fremont,69
Garden Grove,68
Huntington Beach,67
Victorville,67
Moreno Valley,67
El Cajon,67
Santa Cruz,67
Torrance,66
Palmdale,65
Fairfield,65
Richmond,64
Petaluma,64
Santa Maria,63
Compton,62
Pomona,62
West Covina,62
Irvine,61
Hanford,60
Grass Valley,60
Oroville,59
Simi Valley,59
Covina,57
San Rafael,57
Merced,57
Downey,56
Hesperia,56
Concord,55
Pasadena,55
Perris,55
Oceanside,55
Redwood City,54
Sunnyvale,54
Roseville,53
Escondido,53
Redondo Beach,52
La Puente,51
Chico,50
Inglewood,49
Temecula,49
Corona,48
Tulare,48
Ventura,48
Lodi,47
Elk Grove,47
Costa Mesa,46
El Centro,46
Norwalk,46
Vallejo,46
Vista,43
Watsonville,43
Santa Clara,43
Yuba City,43
El Monte,42
Nevada City,42
Orange,42
Daly City,42
Marysville,42
Hollister,41
Palo Alto,41
Clovis,40
Ukiah,40
San Mateo,40
Red Bluff,40
Woodland,40
Berkeley,39
Pleasanton,39
Livermore,39
Thousand Oaks,39
Lake Elsinore,39
Hemet,39
Pittsburg,38
San Marcos,38
Camarillo,38
San Leandro,37
Antioch,37
Hawthorne,37
Burbank,37
Alameda,36
Placerville,36
Van Nuys,36
Mountain View,36
Dublin,35
Fullerton,35
Rialto,35
Vacaville,35
North Hollywood,34
San Gabriel,34
Lakewood,34
Apple Valley,34
Upland,34
Castro Valley,33
Sonora,33
Glendora,33
Redlands,33
Rocklin,33
Rancho Cordova,32
Manhattan Beach,32
Glendale,32
Manteca,32
Paso Robles,32
West Sacramento,32
Susanville,31
Novato,31
Mission Viejo,31
Jurupa Valley,31
Murrieta,31
La Mesa,31
Westminster,30
Carson,30
South Gate,30
Lawndale,30
Buena Park,30
Lompoc,30
Ceres,30
Newark,29
Lynwood,29
Beaumont,29
Yreka,29
Pleasant Hill,28
Indio,28
Orland,28
Huntington Park,28
Reseda,28
Montebello,28
San Pedro,28
Auburn,28
Anderson,28
Walnut Creek,27
Dinuba,27
Delano,27
Santa Monica,27
Azusa,27
Paramount,27
Pico Rivera,27
Chino,27
National City,27
Milpitas,27
Oakdale,27
Martinez,26
Lemoore,26
Hacienda Heights,26
Willits,26
Carmichael,26
Gilroy,26
Colton,26
Carlsbad,26
San Bruno,26
Cupertino,26
Sebastopol,26
Healdsburg,26
Rohnert Park,26
Turlock,26
Kerman,25
Woodland Hills,25
La Mirada,25
Tustin,25
San Luis Obispo,25
Brentwood,24
Crescent City,24
Bellflower,24
Northridge,24
Fountain Valley,24
Barstow,24
Morgan Hill,24
Paradise,23
San Ramon,23
Gardena,23
Saugus,23
Cerritos,23
Baldwin Park,23
Placentia,23
North Highlands,23
Yucaipa,23
Santa Paula,23
Bishop,22
Sylmar,22
Pacoima,22
Mariposa,22
Los Banos,22
Soledad,22
San Jacinto,22
Menifee,22
Spring Valley,22
Los Gatos,22
Davis,22
Sanger,21
El Segundo,21
Rosemead,21
Alhambra,21
Lincoln,21
Banning,21
East Palo Alto,21
Campbell,21
Union City,20
San Lorenzo,20
Arcata,20
Ridgecrest,20
Sun Valley,20
San Fernando,20
Canoga Park,20
Granada Hills,20
Santa Clarita,20
Atwater,20
Alturas,20
Seaside,20
San Juan Capistrano,20
Quincy,20
Folsom,20
Lakeside,20
South San Francisco,20
Pacifica,20
Los Altos,20
South Lake Tahoe,19
San Pablo,19
Selma,19
Reedley,19
Wasco,19
Claremont,19
Arcadia,19
Culver City,19
Oakhurst,19
Yorba Linda,19
La Habra,19
Antelope,19
Fallbrook,19
Ramona,19
Goleta,19
Corning,19
Moorpark,19
Orangevale,18
Riverdale,18
Kingsburg,18
Willows,18
Calexico,18
Brawley,18
Tehachapi,18
San Dimas,18
Monrovia,18
King City,18
Palm Springs,18
Chino Hills,18
Menlo Park,18
Saratoga,18
Windsor,18
Waterford,18
Gridley,17
Danville,17
Firebaugh,17
Calabasas,17
Valencia,17
North Hills,17
Chowchilla,17
Galt,17
Citrus Heights,17
Lucerne Valley,17
Encinitas,17
Sonoma,17
Hughson,17
Weaverville,17
El Dorado Hills,16
Auberry,16
Shafter,16
Clearlake,16
Temple City,16
Canyon Country,16
Walnut,16
Wilmington,16
Monterey,16
Fair Oaks,16
Cypress,16
Rancho Cucamonga,16
Highland,16
Poway,16
Sutter Creek,15
Angels Camp,15
El Cerrito,15
Lafayette,15
Mendota,15
Fortuna,15
Newport Beach,15
La Canada,15
Mammoth Lakes,15
Thermal,15
Adelanto,15
Phelan,15
Santee,15
San Carlos,15
Burlingame,15
Cottonwood,15
Montague,15
Ojai,15
Williams,14
North Fork,14
Arvin,14
Taft,14
Corcoran,14
Lakeport,14
Kelseyville,14
Altadena,14
Rowland Heights,14
Acton,14
Rancho Palos Verdes,14
San Anselmo,14
Dos Palos,14
Montclair,14
Bloomington,14
Alta Loma,14
Imperial Beach,14
Pine Valley,14
Ripon,14
Mount Shasta,14
Dixon,14
Riverbank,14
Lindsay,14
Markleeville,13
Jackson,13
Oakley,13
Coalinga,13
Tollhouse,13
McKinleyville,13
Big Pine,13
Herlong,13
Littlerock,13
La Crescenta,13
Los Alamitos,13
Chatsworth,13
Fort Bragg,13
Delhi,13
Gonzales,13
San Ysidro,13
Atascadero,13
Arroyo Grande,13
Shasta Lake,13
Denair,13
Farmersville,13
Albany,12
Alpine,12
San Andreas,12
Georgetown,12
Parlier,12
Hamilton City,12
Monterey Park,12
Bell Gardens,12
Duarte,12
Mill Valley,12
Laytonville,12
Greenfield,12
Brea,12
San Clemente,12
Truckee,12
La Quinta,12
Wildomar,12
Rio Linda,12
Etiwanda,12
Needles,12
Coronado,12
Lemon Grove,12
Valley Center,12
Escalon,12
Templeton,12
Belmont,12
Millbrae,12
Loyalton,12
Benicia,12
Patterson,12
Newman,12
Exeter,12
Strathmore,12
Wheatland,12
Caruthers,11
Fowler,11
Newhall,11
South Pasadena,11
Lennox,11
Lake Balboa,11
Panorama City,11
Bell,11
Palos Verdes Estates,11
Diamond Bar,11
O'Neals,11
Larkspur,11
Boonville,11
Pacific Grove,11
Laguna Niguel,11
Coachella,11
Blythe,11
Norco,11
Mountain House,11
Carpinteria,11
Etna,11
Live Oak,11
Woodlake,11
Winters,11
Orinda,10
Ferndale,10
Mojave,10
Middletown,10
Upper Lake,10
Malibu,10
Lake Hughes,10
Maywood,10
Beverly Hills,10
Encino,10
Fairfax,10
Penn Valley,10
Lake Forest,10
Aliso Viejo,10
Newcastle,10
Palm Desert,10
Desert Hot Springs,10
Julian,10
Lathrop,10
Felton,10
Palo Cedro,10
Burney,10
Fillmore,10
Newbury Park,10
Oak Park,10
Olivehurst,10
Piedmont,9
Colusa,9
Pinole,9
Tranquillity,9
Princeton,9
Hoopa,9
Holtville,9
McFarland,9
Rosamond,9
Avenal,9
Lower Lake,9
Westwood,9
Santa Fe Springs,9
San Marino,9
Westlake Village,9
Hermosa Beach,9
Sherman Oaks,9
La Grange,9
Potter Valley,9
Leggett,9
Livingston,9
Winton,9
Tulelake,9
Carmel,9
Marina,9
Rancho Santa Margarita,9
Granite Bay,9
Winchester,9
Cathedral City,9
Mather,9
Twentynine Palms,9
Half Moon Bay,9
Solvang,9
New Cuyama,9
Scotts Valley,9
Dunsmuir,9
Fort Jones,9
Forestville,9
Cloverdale,9
Hayfork,9
Orosi,9
San Joaquin,8
Laton,8
Petrolia,8
Winterhaven,8
Lone Pine,8
Lebec,8
La Verne,8
Castaic,8
Agoura,8
Venice,8
West Hills,8
Harbor City,8
Mendocino,8
Covelo,8
St. Helena,8
Eastvale,8
Solana Beach,8
Warner Springs,8
Bonsall,8
Borrego Springs,8
La Jolla,8
Linden,8
Cambria,8
Capitola,8
Weed,8
Dorris,8
Los Molinos,8
Tuolumne,8
Twain Harte,8
Emeryville,7
Byron,7
Ione,7
Biggs,7
Arbuckle,7
Moraga,7
Pollock Pines,7
Shaver Lake,7
Imperial,7
Lake Isabella,7
Maricopa,7
Bieber,7
Agua Dulce,7
South El Monte,7
Arleta,7
Tarzana,7
Corte Madera,7
Tomales,7
Point Arena,7
Hilmar,7
Le Grand,7
Gustine,7
Cedarville,7
Big Sur,7
American Canyon,7
Laguna Beach,7
Loomis,7
Nuevo,7
Rio Vista,7
Big Bear Lake,7
Yucca Valley,7
Lake Arrowhead,7
Atherton,7
Foster City,7
Vandenberg Air Force Base,7
Ben Lomond,7
Aptos,7
Shingletown,7
Geyserville,7
Alpaugh,7
Groveland,7
Durham,6
Maxwell,6
