value,count
Los Angeles,3742
San Diego,1195
Orange,936
San Bernardino,909
Santa Clara,798
Riverside,796
Alameda,791
Fresno,651
Sacramento,649
Contra Costa,479
Kern,462
San Joaquin,455
San Mateo,357
Tulare,355
Sonoma,349
Ventura,335
Stanislaus,322
Santa Barbara,268
Monterey,263
San Francisco,261
Shasta,225
Placer,211
Humboldt,208
Marin,197
Merced,187
Butte,182
Solano,182
Santa Cruz,171
Mendocino,159
Madera,155
San Luis Obispo,153
Siskiyou,145
El Dorado,134
Nevada,132
Imperial,121
Kings,120
Yolo,119
Napa,97
Tehama,90
Sutter,83
Yuba,83
Glenn,82
Tuolumne,82
Lake,81
Lassen,77
Inyo,62
San Benito,60
Trinity,58
Calaveras,52
Amador,43
Mono,43
Modoc,41
Colusa,40
Mariposa,37
Plumas,36
Del Norte,30
Sierra,20
Alpine,19
