value,count
94565,26529
94513,23918
94509,19920
94553,18435
94561,15943
94531,15777
94806,15106
94521,14888
94583,14688
94804,13518
94526,13382
94582,13035
94523,12269
94549,10619
94598,10510
94595,9937
94518,9095
94547,8998
94803,8996
94530,8983
94506,8829
94520,8719
94801,8606
94563,7855
94596,7531
94597,7441
94564,6690
94505,6652
94519,6545
94556,6257
94507,5969
94517,5026
94805,4973
94572,2708
94511,2064
94525,1474
94707,1321
0,1191
94708,966
94514,770
94528,444
94548,384
94802,289
94516,209
94551,133
94569,115
94550,42
94588,38
94706,23
94807,8
94566,3
94524,2
94850,2
98056,1
94522,1
95304,1
94578,1
94538,1
94562,1
94575,1
94611,1
94508,1
94800,1
