value,count
parking,690
parking_space,459
bicycle_parking,269
bench,237
restaurant,229
fast_food,113
waste_basket,110
dentist,78
toilets,75
school,64
cafe,57
bank,51
drinking_water,50
fuel,43
fountain,40
parking_entrance,38
place_of_worship,37
post_box,36
prep_school,28
community_centre,27
loading_dock,27
shelter,26
car_wash,23
charging_station,23
dojo,21
clinic,21
veterinary,20
kindergarten,20
social_facility,20
doctors,19
atm,18
post_office,16
fire_station,16
public_building,15
ice_cream,14
waste_disposal,14
telephone,13
public_bookcase,11
recycling,10
pharmacy,10
vending_machine,10
music_school,9
library,8
car_rental,7
animal_boarding,7
watering_place,7
events_venue,7
parcel_locker,7
police,6
bbq,6
childcare,6
bar,5
bicycle_repair_station,5
clock,4
pub,4
theatre,4
car_pooling,4
townhall,3
taxi,3
food_court,3
letter_box,3
motorcycle_parking,3
bus_station,2
animal_shelter,2
marketplace,2
cinema,2
payment_terminal,2
driving_school,2
vehicle_inspection,2
college,2
prison,2
vacuum_cleaner,1
nightclub,1
studio,1
dancing_school,1
post_depot,1
nursing_home,1
hospital,1
spa,1
courthouse,1
arts_centre,1
