value,count
beauty,76
car_repair,59
hairdresser,58
clothes,31
convenience,30
car,30
supermarket,28
dry_cleaning,23
storage_rental,21
massage,18
copyshop,16
sports,15
flooring,15
jewelry,14
furniture,11
car_parts,11
kitchen,11
money_lender,11
mobile_phone,10
tyres,10
yes,10
houseware,10
department_store,9
doityourself,8
bakery,8
pet,8
bed,8
optician,8
pet_grooming,8
cosmetics,7
swimming_pool,7
florist,7
interior_decoration,6
electronics,6
gift,6
tobacco,6
garden_centre,5
bicycle,5
paint,5
musical_instrument,5
alcohol,5
chemist,5
party,5
nutrition_supplements,4
health_food,4
second_hand,4
outdoor,4
variety_store,4
shoes,4
rental,4
carpet,4
craft,3
books,3
frame,3
agrarian,3
pastry,3
chocolate,3
deli,3
travel_agency,3
repair,3
hardware,2
hifi,2
hairdresser_supply,2
fireplace,2
food,2
doors,2
tailor,2
shoe_repair,2
confectionery,2
toys,2
locksmith,2
fabric,2
wine,2
motorcycle,2
towing,2
appliance,2
tea,1
plant_hire,1
medical_supply,1
baby_goods,1
ticket,1
dog_grooming,1
brewing_supplies,1
funeral_directors,1
psychic,1
butcher,1
contractor,1
hobby,1
art,1
lighting,1
antiques,1
skateboard_shop,1
e-cigarette,1
motorcycle_repair,1
outpost,1
model,1
bathroom_furnishing,1
watches,1
general,1
gas,1
skate,1
grocery,1
groundskeeping,1
wigs,1
wholesale,1
electrical,1
stationery,1
farm,1
caravan,1
vacant,1
games,1
dairy,1
laundry,1
nutrition_supplements;clothing,1
pottery,1
