value,count
2019,42682
2018,42612
2017,41170
2007,40523
2015,40132
2016,39731
2008,38209
2006,37305
2014,36658
2005,35592
2013,35203
2004,34894
2003,33512
2000,32345
2002,32071
2012,31983
2009,31884
2010,31505
2001,30619
2011,30495
1999,30435
1998,29181
1997,28784
1990,28109
1996,27534
2025,26718
1991,26512
1989,26485
2022,25544
2024,25130
1993,24971
1992,24940
2020,24928
2023,24926
2021,24391
1995,23720
1994,23478
1988,21466
1987,18523
1986,17259
1985,15566
1984,14458
1983,13483
2026,12141
1982,10319
1981,2891
1980,259
1979,108
1978,55
1977,29
1973,19
1976,18
1974,17
1972,15
1975,14
1970,11
1971,10
1969,5
1968,4
1966,3
1964,1
1949,1
1909,1
1908,1
1901,1
