value,count
Financial District/South Beach,141899
Mission,83680
Sunset/Parkside,82743
West of Twin Peaks,68829
Marina,56880
Outer Richmond,53549
Castro/Upper Market,53241
Pacific Heights,53014
Noe Valley,51152
South of Market,40169
Inner Sunset,39577
Bernal Heights,38874
Bayview Hunters Point,37813
Haight Ashbury,36871
Russian Hill,35738
Nob Hill,35231
Inner Richmond,30288
Hayes Valley,28739
Chinatown,27586
Excelsior,26753
Tenderloin,26706
Presidio Heights,26633
North Beach,26148
Potrero Hill,24849
Lone Mountain/USF,21891
Oceanview/Merced/Ingleside,21169
Western Addition,20303
Outer Mission,18364
Glen Park,17574
Portola,12036
Mission Bay,11796
Twin Peaks,10765
Visitacion Valley,8847
Seacliff,7306
Lakeshore,5364
Japantown,4083
,3237
Golden Gate Park,497
Treasure Island,459
Lincoln Park,331
Presidio,308
McLaren Park,297
